,descripteur,disparition,envergure,espece,famille,genre,image,localisation,ordre,poids,taille,text,title,id,class_bird,french name
155,"Linnaeus, 1766",,  15 à 19 cm.,trichas,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.masquee.dcha.0p.jpg,,Passériformes,  9 à 10 g,  13 cm,Paruline masquée (Geothlypis trichas) est un oiseau qui appartient à la famille des Parulidés.,Paruline masquée,200,200.Common_Yellowthroat,Paruline masquée
156,"Linnaeus, 1766",,  16 à 20 cm.,petechia,"
 ",Parulidés,https://www.oiseaux.net/photos/serge.nicolle/images/paruline.jaune.seni.6p.jpg,,Passériformes,  9 à 16 g,  12 cm,Paruline jaune (Setophaga petechia) est un oiseau qui appartient à la famille des Parulidés.,Paruline jaune,182,182.Yellow_Warbler,Paruline jaune
157,"Vieillot, 1809",,  23 cm.,motacilla,"
 ",Parulidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/paruline.hochequeue.bkma.0p.jpg,,Passériformes,  19 à 21 g,  15 cm,Paruline hochequeue (Parkesia motacilla) est un oiseau qui appartient à la famille des Parulidés.,Paruline hochequeue,184,184.Louisiana_Waterthrush,Paruline hochequeue
158,"Linnaeus, 1758",,  16 à 19 cm.,ruticilla,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.flamboyante.dcha.0p.jpg,,Passériformes,  6 à 9 g,  13 cm,Paruline flamboyante (Setophaga ruticilla) est un oiseau qui appartient à la famille des Parulidés.,Paruline flamboyante,109,109.American_Redstart,Paruline flamboyante
159,"Linnaeus, 1766",LC,  17 à 22 cm.,canadensis,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.du.canada.dcha.0p.jpg,,Passériformes,  9 à 13 g,  13 cm,"Chez le mâle adulte, le front, les lores, la région oculaire et le devant des couvertures auriculaires sont noirs. Le capuchon est bleu-gris avec des fines stries sombres. La nuque, les côtés du cou et les parties supérieures sont entièrement bleu-gris. Les ailes et la queue affichent une teinte gris noirâtre avec des liserés bleu-gris sur les bordures des plumes, ces derniers étant plus larges sur les couvertures, sur les tertiaires et sur les rectrices centrales. Le dessus des lores à la base du bec est jaune brillant. L'anneau orbitale est principalement blanc, mais il est souvent jaune dans la région où il rejoint le trait superloral. 
Les parties inférieures sont jaune éclatant, légèrement plus pâles sur le bas du centre. Elles contrastent avec les sous-caudales qui sont blanches. On peut apercevoir un large collier fo",Paruline du Canada,162,162.Canada_Warbler,Paruline du Canada
160,"Gmelin, JF, 1789",,  21 à 24 cm.,noveboracensis,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.des.ruisseaux.dcha.0p.jpg,,Passériformes,  13 à 25 g,  15 cm,Paruline des ruisseaux (Parkesia noveboracensis) est un oiseau qui appartient à la famille des Parulidés.,Paruline des ruisseaux,183,183.Northern_Waterthrush,Paruline des ruisseaux
161,"Vieillot, 1809",LC,  19 cm.,discolor,"
 ",Parulidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/paruline.des.pres.bkma.0p.jpg,,Passériformes,  6 à 9 g,  12 cm,"Chez le mâle adulte, le capuchon, la nuque, les côtés du cou et les parties supérieures sont vert-olive éclatant avec des stries châtain visibles sur le manteau ainsi que des fines rayures noires sur le front et les côtés de la calotte. Le sourcil jaune brillant est plutôt long. Le bref trait oculaire, les lores et la large bordure inférieure des couvertures auriculaires sont noirs. Il y a une grosse tache jaune en-dessous de l'œil qui contraste avec les parties noires de la face. Le reste des oreillons est vert-olive, semblable aux côtés du cou. 
Les plumes des ailes sont noirâtre terne avec des liserés olive particulièrement visibles sur les tertiaires et des terminaisons jaunâtres sur les grandes et les moyennes couvertures, ce qui forme 2 vagues barres alaires. Les plumes de la queue sont noirâtres avec des bordures olive et des petites taches blanches sur les rectrices externes.
Les parties inférieures sont entièrement jaune brillant avec de nettes stries noires sur les côtés de la poitrine et sur les flancs. Le jaune de la gorge déborde jusqu'à la sous-moustache et jusqu'aux côtés du cou. Le bec et les pattes affichent une couleur noire. Le mâle est semblable toute l'année, mais en dehors de la période nuptiale, le plumage est un peu plus terne et les stries sont moins visibles. Les plumes noires de la face ont de fines bordure jaunes.
Chez la femelle adulte, le plumage est généralement plus terne. Le trait oculaire noir est assez visible, mais la tache jaune des couvertures auriculaires est vague. La bordure inférieure est gris sombre ou olive grisâtre, rarement noire, jamais aussi sombre que chez le mâle. Les stries sur les côtés sont plus étroites et plus grises, mais assez distinctes. Les stries sur le manteau sont à peine perceptibles et manquent parfois. Il y a moins de blanc sur la queue. La femelle est semblable toute l'année, quoiqu'un peu plus pâle en période non nuptiale.
Le mâle de première année ressemble beaucoup à la femelle, mais il est en moyenne plus brillant et les ornements noirs et châtains sont plus proéminents. En période nuptiale, il ressemble au mâle adulte quoiqu'il soit un peu plus terne. Les rémiges, l'alula et les couvertures primaires sont usées et, de ce fait, ont une apparence brunâtre. Les rectrices sont plus pointues que chez les adultes. 
En non-nuptial, la femelle de première année est une copie plus terne de la femelle adulte. Les couvertures auriculaires sont gris-olive comme le reste de la tête. Le trait oculaire est vague. Le sourcil et le croissant suboculaire sont blanchâtres. Les stries châtain sont généralement absentes, les stries des flancs sont indistinctes. Il y a moins de blanc sur les rectrices. 
Chez les juvéniles, la tête et le dessus sont gris-olive, sans stries. Les croissants suboculaires sont blanchâtres. Le dessous et les barres alaires sont chamois très clair. Le bec et les pattes sont plus pâles que chez les adultes.",Paruline des prés,176,176.Prairie_Warbler,Paruline des prés
162,"Linnaeus, 1766",LC,  19 à 23 cm.,pinus,"
 ",Parulidés,https://www.oiseaux.net/photos/serge.nicolle/images/paruline.des.pins.seni.1p.jpg,,Passériformes,  9 à 15 g,  14 cm,"Chez le mâle adulte de la race nominale, le capuchon, la nuque, les couvertures auriculaires et les parties supérieures sont uniformément vert-olive éclatant. Le croissant de l'œil et le court sourcil qui va jusqu'en arrière de l'iris sont jaunes. Un discret trait oculaire plus foncé contraste à peine avec les oreillons. 
Les ailes sont noirâtres avec des liserés gris, ceux-ci étant plus larges sur les tertiaires et les couvertures. Sur les grandes et les moyennes couvertures, il y a de larges bordures blanches qui forment 2 évidentes barres alaires. La queue est noirâtre avec des liserés gris et des taches blanches sur les rectrices extérieures. La gorge et la poitrine ont une couleur jaune-citron qui va jusqu'au cou. Sur la poitrine et sur les flancs, il y a des stries sombres qui s'estompent progressivement. Le ventre et les sous-caudales sont blancs. Le bec et les pattes sont noirâtres. Les mâles sont semblables toute l'année, mais en plumage frais, ils sont légèrement plus ternes et leurs parties supérieures sont nuancées de brunâtre. 
Les motifs de la femelle adulte sont assez identiques à ceux du mâle mais ils sont plus ternes. La tête et le dessus sont vert-olive terne avec un lavis gris qui est assez net sur la nuque. La gorge et la poitrine sont jaune verdâtre avec de très vagues stries. La queue a en moyenne moins de blanc que celle de son partenaire. Comme chez le mâle, la femelle est encore plus terne en plumage frais. 
En plumage frais, les mâles de première année ressemblent aux femelles adultes, mais la tête et les parties supérieures ont tendance à être nuancées de brunâtre alors que la gorge et la poitrine sont plus jaunes avec une teinte chamois. Les flancs et les sous-caudales sont également lavés de chamois clair. Les tertiaires ont parfois des liserés plus bruns. Au printemps, le plumage est usé et ressemble à celui du mâle adulte, mais les rémiges, l'alula, les couvertures primaires et généralement les rectrices sont encore plus usées et ont une apparence brunâtre. 
Les femelles de première année sont habituellement très ternes. La tête et le dessus sont gris brunâtre, manquant d'olive. Les parties inférieures sont chamois clair ou blanches avec des flancs bruns. Les sous-caudales sont teintées de chamois pâle, spécialement en plumage frais Les barres alaires sont souvent blanchâtres. Au printemps, elles sont plus brillantes grâce à la teinte olive du dessus qui contraste avec le gris de la nuque et des côtés du cou. Les sous-caudales sont souvent plus blanches. 
Chez les juvéniles, la tête et le dessus sont gris-brun, le dessous est blanc grisâtre avec une teinte chamoisée sur le ventre et de vagues mouchetures olive sur la poitrine et le haut de l'abdomen. Les barres alaires sont chamois, les rémiges bordées de gris pâle. Le bec et les pattes sont chamois rosâtre sombre.",Paruline des pins,175,175.Pine_Warbler,Paruline des pins
163,"Linnaeus, 1766",LC,  19 à 26 cm.,aurocapilla,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.couronnee.dcha.0p.jpg,,Passériformes,  16 à 28 g,  15 cm,"Chez les adultes de la race nominale, le centre du capuchon et la nuque sont roux-orange, bordés de larges stries noires de chaque côté. Les côtés de la tête et le cou sont vert-olive foncé, les couvertures auriculaires ont des mouchetures plus pâles. Il y a un anneau orbital blanc bien visible. Les parties inférieures sont vert-olive foncé, les ailes et la queue sont brun noirâtre avec des liserés vert-olive, ces derniers étant plus larges sur les couvertures, les tertiaires et les rectrices centrales. Les rectrices externes affichent occasionnellement à leurs extrémités des petites taches blanches qui sont généralement plus larges chez les mâles. La sous-moustache est blanchâtre, le trait malaire noir. Les parties inférieures sont blanches avec d'abondantes stries noires qui ont l'apparence de taches sur la poitrine et sur les flancs. Le bec est brun sombre avec une base couleur chair sur la mandibule inférieure. Les pattes sont rose chair éclatant. 
Les adultes sont semblables pendant toute l'année mais, en plumage frais, les stries de la tête sont légèrement masquées par des liserés olive et les parties inférieures sont souvent nuancées de jaune pâle. Les sexes sont identiques.
Chez les jeunes de première année, en plumage frais, les tertiaires ont d'étroites bordures roussâtres mais celles-ci deviennent vite usées. Contrairement aux adultes, les rectrices n'affichent jamais de petites taches blanches. Les stries du capuchon peuvent être plus ternes et les rectrices paraître plus pointues.
Chez les juvéniles, le sommet de la tête et le dessus sont brun-chamois-olive avec des taches et des mouchetures noires. Les côtés de la tête sont olive foncé. Les motifs de la tête sont absents ou atténués. La gorge et la poitrine sont chamois, le ventre et les sous-caudales blancs. Il y a des stries sombres sur la poitrine et sur les flancs, se poursuivant sur le ventre sous la forme de traits plus fins. Les grandes et les moyennes couvertures ont des pointes chamois formant 2 évidentes barres alaires. Le bec et les pattes sont chair pâle.",Paruline couronnée,99,099.Ovenbird,Paruline couronnée
164,"Gmelin, JF, 1789",LC,  17 à 20 cm.,caerulescens,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.bleue.dcha.0p.jpg,,Passériformes,  8 à 12 g,  13 cm,"Chez le mâle adulte de la race nominale, le front, les lores, le sourcil, les couvertures auriculaires, la gorge, le haut de la poitrine et les flancs sont noirs. Le capuchon, la nuque, les côtés du cou et les parties supérieures sont bleu foncé. Les ailes et la queue sont noires avec des bordures bleues sur les plumes, ces dernières étant plus larges sur les couvertures, les tertiaires et les rectrices centrales. La base blanche des primaires est particulièrement développée, ce qui forme une tache bien visible sur l'aile. La queue présente des taches blanches sur les 4 paires de rectrices externes. Les parties inférieures, du bas de la poitrine jusqu'aux sous-caudales, sont blanches, y compris une petite zone proche de la courbure de l'aile. Le bec est noirâtre, les pattes sont chair terne. Le mâle est semblable tout au long de l'année. Toutefois, en plumage frais, les plumes du dessous ont des liserés verdâtres et ceux de la gorge des bordures blanchâtres.
Chez la femelle adulte, la calotte, les lores, les oreillons, la nuque et les parties supérieures sont olive brunâtre. Les plumes des ailes et de la queue sont plus sombres avec des franges olive. La queue affiche des taches grisâtres sur les 2 rectrices les plus externes.
L'étroit sourcil est souvent plus vague sur le devant de l'œil, la zone suboculaire forme un croissant blanc ou blanchâtre. La base des primaires est blanche ou chamois. Elle forme une tache alaire moins développée que celle du mâle. Les parties inférieures ont une couleur ocre chamoisé plus forte sur la poitrine et sur les flancs. Le plumage est semblable toute l'année.
Les mâles de première année sont similaires aux adultes toute l'année mais les rémiges, l'alula et les couvertures primaires sont liserés de verdâtre et non pas de bleu. Ils paraissent également plus usés au printemps et ont alors une teinte brunâtre. En dehors de la période nuptiale, la couleur verdâtre et pâle des liserés est moins étendue et le dessous peut être nuancé de chamois. Le blanc des ailes et da la queue sont moins visibles.
Les femelles de première année sont semblables aux adultes, mais la tache alaire chamois pâle est très réduite ou absente, le plumage est souvent un peu plus brun sur le dessus et plus chamoisé sur le dessous.
Chez les juvéniles, la tête et le dessus sont semblables à la femelle de première année mais plus bruns. Le sourcil est plus crémeux. Le dessous est blanchâtre avec une légère nuance jaune sur la gorge et sur le ventre. La gorge et le ventre sont mouchetés de brunâtre, un peu plus fortement sur la poitrine.",Paruline bleue,160,160.Black_throated_Blue_Warbler,Paruline bleue
165,,,,,,,https://www.oiseaux.net/photos/michel.lamarche/images/paruline.azuree.mila.5p.152.h.jpg,,,,,Paruline azurée (Setophaga cerulea) est un oiseau qui appartient à la famille des Parulidés.,Paruline azurée,164,164.Cerulean_Warbler,Paruline azurée
166,"Wilson, A, 1811",LC,  16 à 20 cm.,magnolia,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.a.tete.cendree.dcha.0p.jpg,,Passériformes,  6 à 15 g,  13 cm,"Chez le mâle adulte en plumage nuptial, le front, les lores et les couvertures auriculaires sont noirs, avec un croissant sub-oculaire blanc. Le capuchon est gris-bleu avec de très fines stries noires. La nuque et les côtés du cou sont gris plus foncé. Le manteau et les scapulaires sont noirs, avec parfois des étroites bordures olive qui sont particulièrement visibles sur les plumes des épaules. Le croupion est jaune éclatant, les sous-caudales sont noires avec de fins liserés gris. Les ailes sont noires avec des bordures grises, ces dernières étant nettement visibles sur les tertiaires. Les grandes couvertures externes ont des terminaisons blanches, les grandes couvertures internes et les moyennes couvertures sont majoritairement blanches avec des petits centres noirs, ce qui forme une tache alaire bien visible. La queue est noire avec de fins liserés gris et de grosses taches blanches sur toutes les rectrices centrales. 
Les parties inférieures sont jaune-rose avec de larges stries noires sur la poitrine et sur les flancs. Les couvertures sous-caudales sont blanches. Le bec est noir, les pattes noir brunâtre.
En plumage non nuptial, les mâles sont considérablement plus ternes, mais ils sont encore remarquables avec leurs plumes noires largement bordées d'olive sur la face et sur le dessus. Les stries de la poitrine et des flancs sont larges et distinctes mais le gris du capuchon est plus fade. Les couvertures sus-caudales ont de plus larges bordures grises. Le sourcil est presque absent et la tache alaire est remplacée par 2 épaisses barres
La femelle adulte en plumage nuptial est bien plus terne que son partenaire, avec un capuchon et une nuque gris pâle, un sourcil plus étroit et moins distinct, des oreillons gris mouchetés de noir et des lores blanchâtres. Un anneau orbitale complet mais vague remplace le croissant sub-oculaire blanc. Le manteau olive est orné de stries discrètes. Les grandes et les moyennes couvertures ont des terminaisons blanches qui forment de nettes barres alaires. Les stries sur la poitrine et sur les flancs sont moins proéminentes. Les sous-caudales sont principalement grisâtres avec de petits centres noires et moins de blanc en moyenne sur la queue. Exceptionnellement certains individus ont des couleurs plus éclatantes et ressemblent dans ce cas à des mâles de première année.
En plumage non nuptial, toutes les femelles adultes ont un plumage plus terne. Les stries sur le dessus et sur le dessous sont moins distinctes. Les stries de la poitrine sont remplacées par un lavis gris. Les oreillons sont plus gris, plus uniformes et s'accordent avec le reste de la tête. Le sourcil est plus ou moins absent mais l'anneau orbital est plus développé vers l'avant et vers l'arrière.
En non-nuptial, les oiseaux de première année ressemblent beaucoup à la femelle adulte, mais les stries du manteau et des flancs ont tendance à être moins marquées. Les jeunes mâles sont habituellement un peu plus brillants, avec des stries moins vagues et un peu plus de blanc sur la queue que les femelles. En plumage nuptial, les 2 sexes ont une apparence assez similaire à celle des adultes, mais les rémiges, l'alula et les couvertures primaires paraissent plus usées, si bien qu'il y a un fort contraste avec les couvertures. Les rectrices sont plus pointues que chez les adultes.
Chez les juvéniles, la tête et le dessus sont brun-olive avec de discrètes stries brun plus foncé. La plupart des parties inférieures sont chamois clair mais la poitrine est olive-brun sombre, cette couleur se poursuivant sur le ventre et sur les flancs sous la forme de vagues stries. Il y a 2 barres alaires blanchâtres. Le bec et les pattes sont chamois rosâtre.",Paruline à tête cendrée,169,169.Magnolia_Warbler,Paruline à tête cendrée
167,"Wilson, A, 1810",LC,  20 à 22 cm.,castanea,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.a.poitrine.baie.dcha.0p.jpg,,Passériformes,  10 à 17 g,  14 cm,"Chez le mâle adulte en plumage nuptial, le devant de la tête, y compris les couvertures auriculaires, est noir, avec une tache châtain sur le sommet du capuchon. Il y a une large tache jaune-crème sur les côtés du cou. La nuque et les parties supérieures sont gris-olive, d'une nuance plus grise sur les sus-caudales et avec d'abondantes stries noirâtres. Les plumes des ailes sont noirâtres avec des liserés gris pâle ou blanchâtres, ces derniers étant plus visibles sur les couvertures et sur les tertiaires. De larges terminaisons blanches ornent les grandes et les moyennes couvertures, formant 2 nettes barres alaires. La queue est noirâtre avec des bordures grises sur l'ensemble des plumes et des taches blanches sur les rectrices extérieures. 
La gorge, le haut de la poitrine et les flancs sont châtain, le reste des parties inférieures varie du chamois-jaune pâle au blanc. Le bec est noir, les pattes sont chair obscur ou gris foncé. Les semelles des pieds sont gris plus pâle ou chamois-gris.
En non-nuptial, le capuchon, la nuque et le dessus affichent une couleur vert-olive jaunâtre, avec d'assez nombreuses stries noires. Le croupion et les sus-caudales sont nettement grisâtres, les dernières avec des centres noirs bien distincts. Le sourcil à peine prononcé est jaune pâle, contrastant avec les lores et les oreillons qui sont gris. Le dessous est chamois clair, la gorge est un peu plus blanche, les flancs châtain. Parfois, on peut apercevoir un peu de châtain sur le capuchon et sur la gorge.
En plumage nuptial la femelle adulte a une tête bien plus terne que son partenaire. Le noir est remplacé par du gris-brun et ce dernier est variablement moucheté de noir. La tache du capuchon est châtain plus clair et est striée de noir de façon très discrète. La tache du cou est plus pâle et peu proéminente. Les parties supérieures ont une teinte plus olive et sont moins striées. Le châtain des parties inférieures est plus pâle et il est restreint aux côtés de la poitrine. Les motifs de la queue sont semblables à ceux du mâle. En non-nuptial, la femelle ressemble beaucoup à son partenaire, mais elle est plus terne et elle manque toujours de châtain sur la tête. Les stries sur les parties supérieures sont moins nettes. Le croupion et les sus-caudales sont nuancés d'olive et les sus-caudales ont des centres noirs moins développés et plus discrets. Les flancs sont chamois foncé avec parfois un soupçon de châtain.
En non-nuptial, les mâles de première année sont identiques aux femelles et ne peuvent être distingués dans le milieu naturel. En plumage nuptial, ils ressemblent au mâle adulte mais ils ont souvent un plumage plus fade. Notamment, la tête et les rémiges, l'alula, les ouvertures primaires et les rectrices sont plus usés et paraissent plus brunâtres. Les rectrices sont en moyenne plus pointues que chez les adultes.
En non-nuptial, les femelles de première année sont très ternes. Généralement, les stries des parties supérieures et le chamois des flancs sont absents. Le croupion et les sus caudales sont olive, uniformes avec le manteau. Les centres sombres des sus-caudales sont virtuellement manquants. Il y a moins de blanc sur la queue. En plumage nuptial, elles sont identiques aux femelles adultes quoique plus ternes.
Les juvéniles ont un capuchon, une nuque et un dessus gris-chamois pâle qui sont abondamment striés de noirâtre. Les couvertures auriculaires ont la même teinte mais les stries sont plus foncées. Le dessous est chamois clair avec des mouchetures noires sur la gorge, la poitrine et les flancs. Le bec et les pattes sont chamois rosâtre.",Paruline à poitrine baie,158,158.Bay_breasted_Warbler,Paruline à poitrine baie
168,"Wilson, A, 1811",LC,  17 à 20 cm.,ruficapilla,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.a.joues.grises.dcha.1p.jpg,,Passériformes,  7 à 12 g,  12 cm,"Chez le mâle adulte de la race nominale, en plumage nuptial le capuchon, la nuque, les oreillons et les côtés de la tête sont uniformément gris moyen. Les plumes du centre de la calotte ont des bases rousses, formant une tache semi-cachée. Le manteau jaune-olive éclatant contraste avec la tête grise. Le croupion est olive jaunâtre encore plus éclatant. Les plumes des ailes et de la queue sont vert-olive foncé avec des lisérés olive plus clair. Les vexilles internes des rectrices les plus extérieures sont bordées de blanchâtre. La totalité des parties inférieures est jaune rosâtre brillant excepté une petite zone blanchâtre sur le bas-ventre, à la base des pattes. Le bec est noirâtre avec un peu de gris-chair à la base de la mandibule inférieure.
En plumage non-nuptial, le mâle ne change guère mais le plumage forme un ensemble plus terne, avec un peu moins de contraste entre la tête et le dessus dû à quelques plumes olive sur le sommet de la tête. Les primaires fraîches ont d'étroites bordures blanches qui ont tendance à s'user rapidement.
Les femelles adultes en plumage nuptial ont des motifs assez semblables à ceux des mâles mais considérablement plus ternes. La tête a une teinte olive qui ne contraste pas de façon notable avec les parties supérieures. Le jaune des parties inférieures est plus pâle, notamment sur la gorge. La tache de la calotte est moins développée et d'un roux plus pâle. En plumage non-nuptial, les femelles ne subissent pas de grandes transformations mais elles sont un peu plus ternes. La gorge est souvent blanc-crème et le dessus est revêtu d'un lavis brunâtre. Les lores sont souvent plus pâles.
En non-nuptial, les mâles de première année ressemblent plus ou moins aux femelles adultes, toutefois la tache du capuchon peut être légèrement plus foncée et plus développée, ce qui n'est visible que dans la main. En plumage nuptial, les jeunes mâles ressemblent à leur père mais ils sont un peu plus ternes. Les rectrices et les primaires externes sont plus pointues. Au printemps, les autres rémiges, l'alula et les couvertures primaires paraissent plus usés.
Les femelles de première année sont généralement très ternes en plumage non-nuptial. La tête est olive grisâtre, le dessus olive brunâtre. La poitrine et les flancs sont chamois-jaune pâle, les sous-caudales plus pâle. La gorge est blanchâtre et il n'y a pas de roux sur le capuchon. En plumage nuptial, les jeunes femelles ressemblent à leur mère, mais gardent certaines plumes caractéristiques de leur jeunesse.
Chez les juvéniles, le sommet et les côtés de la tête ainsi que le dessus sont gris-olive, plus gris sur la tête, plus olive sur les parties supérieures. Les grandes et les moyennes couvertures ont des extrémités jaune pâle formant 2 barres alaires. Le dessous est olive grisâtre sur la gorge, la poitrine et les flancs, jaune pâle sur le ventre et les sous-caudales. Le bec et les pattes sont chamois rosâtre.",Paruline à joues grises,172,172.Nashville_Warbler,Paruline à joues grises
169,"Linnaeus, 1766",LC,  18 à 21 cm.,pensylvanica,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.a.flancs.marron.dcha.1p.jpg,,Passériformes,  8 à 13 g,  13 cm,"En plumage nuptial, le mâle adulte a un capuchon jaune éclatant. Les lores, l'épais trait oculaire et la strie submoustachiale sont noirs. Les sourcils se rejoignent sur la nuque. Les côtés de la tête sont blancs. La nuque est blanchâtre, fortement striée de noir. Les parties supérieures sont vert-olive, également avec d'abondantes stries noires. Les plumes des couvertures sus-caudales sont grises avec de larges mais vagues centres noirs. Les ailes sont noirâtres avec des bordures pâles. Ces liserés deviennent très larges et très jaunes sur les couvertures et sur les tertiaires. Des terminaisons blanches ou blanc-crème forment 2 évidentes barres alaires sur les grandes et les moyennes couvertures. La queue est noirâtre avec des liserés plus gris sur les bordures et des taches blanches sur les rectrices extérieures.
Les parties inférieures sont blanches avec une large bande châtain qui va de l'extrémité de la sous-moustache jusqu'à la base des pattes en passant par le long de la poitrine et par les flancs. Le bec est noirâtre, les pattes sont brun-noir.
En plumage non-nuptial, le capuchon, la nuque et le dessus forment un ensemble vert-citron avec de fines mouchetures noires sur le centre des plumes, ces dernières n'étant normalement pas très visibles. Les côtés de la tête et les parties inférieures sont blanc grisâtre, plus gris sur la tête et sur la gorge, plus blanchâtres sur les sous-caudales. Le sourcil blanc est étroit mais proéminent. La bande châtain des flancs est généralement moins développée qu'en plumage nuptial. Les ailes, la queue et les sus-caudales ne changent pas.
En nuptial, la femelle a les mêmes ornements que son partenaire mais l'ensemble du plumage paraît plus terne. La calotte est jaune verdâtre avec des fines stries. Les motifs de la face sont moins contrastés, avec des zones noires moins distinctes et des côtés de la tête plus gris pâle. Le dessous est plus gris avec une bande châtain moins longue. Il y a en moyenne moins de blanc sur la queue.
En non-nuptial, la femelle diffère peu du mâle mais la ligne châtain est très réduite ou quasiment absente. Les centres-noirs sur les sus-caudales sont plus petits et moins visibles.
En plumage nuptial, le mâle de première année ressemble à sa mère, mais ses barres alaires sont légèrement plus jaunes. Les rémiges, l'alula et les couvertures primaires sont relativement usés au printemps, ce qui provoque un contraste avec les couvertures plus resplendissantes. Les rectrices sont plus pointues que chez les adultes.
Les femelles de première année ressemblent aux jeunes mâles mais elles n'ont jamais de bande châtain et les sus-caudales verdâtres ont une vague ligne centrale noire. En nuptial, elles ressemblent à la femelle adulte mais certains individus peuvent paraître très ternes avec leur calotte verdâtre et passer alors pour des individus d'hiver.
Chez les juvéniles, le capuchon, la nuque et le dessus sont brun-ambre foncé. De plus ils sont vaguement striés de noir sur le manteau. Les barres alaires sont jaune chamoisé. Le bec et les pattes sont chamois rosâtre sombre.",Paruline à flancs marron,165,165.Chestnut_sided_Warbler,Paruline à flancs marron
170,"Linnaeus, 1766",,  19 à 23 cm.,coronata,"
 ",Parulidés,https://www.oiseaux.net/photos/denis.chavigny/images/paruline.a.croupion.jaune.dcha.2p.jpg,,Passériformes,  12 à 13 g,  15 cm,Paruline à croupion jaune (Setophaga coronata) est un oiseau qui appartient à la famille des Parulidés.,Paruline à croupion jaune,171,171.Myrtle_Warbler,Paruline à croupion jaune
171,"Gmelin, JF, 1789",LC,  20 à 21 cm.,palmarum,"
 ",Parulidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/paruline.a.couronne.rousse.bkma.0p.jpg,,Passériformes,  7 à 13 g,  14 cm,"Chez les adultes en plumage nuptial, le capuchon est roux éclatant, sans stries. La nuque, le manteau, le dos et les scapulaires sont gris-brun avec une teinte olive et et quelques stries plus sombres. Le croupion et les sus-caudales sont jaune-olive. Le sourcil jaune pâle contraste avec le trait oculaire qui est sombre. Il y a un croissant suboculaire blanc. Les lores et les couvertures auriculaires affichent une couleur gris-brun nuancée de roux qui est mise en valeur par le blanc et la sous-moustache et par le gris-brun pâle des côtés du cou. On peut apercevoir un fin trait malaire qui borde le jaune de la gorge et du haut de la poitrine. La poitrine a une ligne de stries foncées qui se poursuivent en s'atténuant jusqu'aux flancs. Le reste des parties inférieures est blanchâtre, excepté les sous-caudales qui contrastent en jaune.
Les ailes sont brun noirâtre avec des bordures chamois clair. Les grandes et les moyennes couvertures sont terminées de blanc chamoisé formant 2 vagues barres alaires. La queue est brun noirâtre avec des liserés plus pâles et des taches blanches sur les plumes externes. Le bec est noirâtre avec une base plus pâle sur la mandibule inférieure. Les pattes sont brun sombre. Les sexes sont identiques.
En plumage non nuptial, le capuchon est plus ou moins uniforme avec les parties supérieures, bien que des plumes éparses rousses soient toujours visibles. La gorge blanchâtre ne tranche pas avec le reste des parties inférieures, mais parfois on peut apercevoir un lavis jaunâtre.
Les oiseaux de première année sont comme les adultes pendant toute l'année mais leurs rectrices semblent plus pointues au printemps. L'alula, les couvertures primaires et les rectrices sont plus usées et paraissent plus brunâtres. Certains oiseaux, probablement des femelles, ont un peu de roux sur la calotte et du blanc sur la gorge. En automne, les oiseaux qui ont du roux sur le capuchon et du jaune sur la gorge sont des mâles. 
Les juvéniles ont un capuchon et un dessus gris-brun mouchetés de sombre et devenant plus strié sur le bas du manteau. Les oreillons sont tachetés de chamois clair et de gris brun. Les lores sont plus foncés. Le dessous est gris-chamois avec des écailles brun foncé excepté sur les sous-caudales. La poitrine est abondamment striée. Les barres alaires sont chamois-cannelle.",Paruline à couronne rousse,174,174.Palm_Warbler,Paruline à couronne rousse
172,"Boddaert, 1783",,  - ,citrina,"
 ",Parulidés,https://www.oiseaux.net/photos/serge.nicolle/images/paruline.a.capuchon.seni.0p.jpg,,Passériformes,  9 à 12 g,  13 cm,Paruline à capuchon (Setophaga citrina) est un oiseau qui appartient à la famille des Parulidés.,Paruline à capuchon,167,167.Hooded_Warbler,Paruline à capuchon
